file_id,number_of_pages,pdf_location,txt_location,txt_content
104-10065-10105,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10065-10105.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10105.txt,
104-10065-10113,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10065-10113.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10113.txt,
104-10065-10124,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10065-10124.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10124.txt,
104-10065-10152,8,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10065-10152.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10152.txt,
104-10065-10358,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10065-10358.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10358.txt,
104-10065-10360,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10065-10360.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10360.txt,
104-10065-10386,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10065-10386.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10065-10386.txt,
104-10066-10010,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10066-10010.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10010.txt,
104-10066-10031,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10066-10031.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10031.txt,
104-10066-10060,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10066-10060.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10060.txt,
104-10066-10076,9,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10066-10076.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10076.txt,
104-10066-10107,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10066-10107.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10107.txt,
104-10066-10238,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10066-10238.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10238.txt,
104-10066-10239,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10066-10239.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10239.txt,
104-10066-10240,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10066-10240.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10240.txt,
104-10066-10245,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10066-10245.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10245.txt,
104-10066-10260,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10066-10260.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10066-10260.txt,
104-10067-10043,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10067-10043.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10067-10043.txt,
104-10067-10044,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10067-10044.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10067-10044.txt,
104-10067-10046,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10067-10046.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10067-10046.txt,
104-10067-10291,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10067-10291.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10067-10291.txt,
104-10068-10142,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10068-10142.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10068-10142.txt,
104-10068-10164,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10068-10164.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10068-10164.txt,
104-10068-10172,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10068-10172.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10068-10172.txt,
104-10069-10077,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10069-10077.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10069-10077.txt,
104-10069-10112,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10069-10112.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10069-10112.txt,
104-10069-10120,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10069-10120.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10069-10120.txt,
104-10069-10132,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10069-10132.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10069-10132.txt,
104-10069-10177,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10069-10177.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10069-10177.txt,
104-10069-10185,5,/Users/furkandemir/Desktop/Thesis/pdf_files/5/104-10069-10185.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10069-10185.txt,
